step,epoch,loss,grad_norm,learning_rate
0,0.004916,1.813,4.676,1.772e-06
20,0.009831,1.849,3.996,3.74e-06
40,0.1081,0.2072,1.89,4.311e-05
60,0.2065,0.1125,0.8197,8.248e-05
80,0.3048,0.08082,0.2692,9.885e-05
100,0.4031,0.09229,0.4919,9.678e-05
120,0.5014,0.06001,0.1187,9.471e-05
140,0.5997,0.06135,0.134,9.265e-05
160,0.698,0.0727,0.181,9.058e-05
180,0.7963,0.06307,0.1196,8.851e-05
200,0.8946,0.07557,0.5595,8.644e-05
220,0.9929,0.06482,0.1698,8.437e-05
240,1.091,0.04971,0.08024,8.23e-05
260,1.189,0.05901,0.08133,8.023e-05
280,1.288,0.05291,0.0769,7.816e-05
300,1.386,0.08026,0.1827,7.609e-05
320,1.484,0.06656,0.1444,7.403e-05
340,1.582,0.06382,0.1135,7.196e-05
360,1.681,0.0606,0.05333,6.989e-05
380,1.779,0.06941,0.1072,6.782e-05
400,1.877,0.06197,0.3463,6.575e-05
420,1.976,0.06528,0.0725,6.368e-05
440,2.074,0.05606,0.09479,6.161e-05
460,2.172,0.06616,0.0913,5.954e-05
480,2.27,0.04722,0.1056,5.747e-05
500,2.369,0.07762,0.2194,5.54e-05
520,2.467,0.06778,0.06385,5.334e-05
540,2.565,0.05933,0.07757,5.127e-05
560,2.664,0.06237,0.07283,4.92e-05
580,2.762,0.05613,0.07344,4.713e-05
600,2.86,0.05475,0.06391,4.506e-05
620,2.959,0.04812,0.07961,4.299e-05
640,3.057,0.05453,0.05174,4.092e-05
660,3.155,0.05196,0.1096,3.885e-05
680,3.253,0.0457,0.1002,3.678e-05
700,3.351,0.0641,0.04566,3.472e-05
720,3.43,0.05866,0.06978,3.306e-05
740,3.528,0.05012,0.05689,3.099e-05
760,3.626,0.0473,0.06108,2.892e-05
780,3.724,0.04857,0.05843,2.685e-05
800,3.822,0.04531,0.08294,2.478e-05
820,3.92,0.04709,0.06102,2.271e-05
840,4.018,0.04283,0.05431,2.064e-05
860,4.116,0.04112,0.06879,1.858e-05
880,4.215,0.04438,0.05921,1.651e-05
900,4.313,0.03974,0.07234,1.444e-05
920,4.411,0.03821,0.06513,1.237e-05
940,4.509,0.03651,0.05982,1.03e-05
960,4.607,0.03514,0.06274,8.227e-06
980,4.705,0.03289,0.05417,6.158e-06
1000,4.803,0.03127,0.06891,4.089e-06
1020,4.901,0.02841,0.05623,2.02e-06
1035,5.0,0.02411,0.04982,0.0
